date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:36	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598cab2a-c7c7%22	https://colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/bootstrap.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/bootstrap.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599dcf04-10468%22	https://colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598a0c6e-b635%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	41282/41282	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599eb8c6-11090%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:37	934/934	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a045954-53c%22	https://colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:37	1401/1401	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a3a1920-99e%22	https://colorlib.com/etc/lf/Login_v2/js/main.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/js/main.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:39	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%2259244aa8-2876e%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:39	165742/165742	---M--	200	added ('OK')	application/octet-stream	etag:%2259244aa8-2876e%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:39	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:%2259244aa8-12d68%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:39	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2259244aa8-17ee8%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:40	165548/165548	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%2259244aa8-286ac%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:40	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259244aa8-6c7db%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css)
12:33:41	38384/38384	---M--	200	added ('OK')	application/font-woff2	etag:%22563f1ae6-95f0%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
12:33:42	50312/50312	---MCZ	200	added ('OK')	application/font-woff	etag:W/%22563f1ae6-c488%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
12:33:43	99212/99212	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22563f1ae6-1838c%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/iconic/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css)
12:33:43	145312/145312	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22556e2760-237a0%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Regular.ttf	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Regular.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
12:33:44	143516/143516	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22556e2760-2309c%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Medium.ttf	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Medium.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
12:33:44	141260/141260	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22556e2760-227cc%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Bold.ttf	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-Bold.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
12:33:45	142148/142148	---MCZ	200	added ('OK')	application/x-font-ttf	etag:W/%22556e2760-22b44%22	https://colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-SemiBold.ttf	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/poppins/Poppins-SemiBold.ttf	(from https://colorlib.com/etc/lf/Login_v2/css/main.css)
